numberOfTweet,text,user name,screen name,description,gender
1,One Bogus Charge Against Videographer in Planned Parenthood Sting is Dismissed https://t.co/M01RU5h2M7 via @pjmedia_com,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",Female
2,Approaching 400... CNN must terminate Sally Kohn for anti-Christian #Orlando bigotry  https://t.co/iSnxcdsVDO,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
3,"Yup. Too cautious and totally political, pro-Obama. The Janet Yellen Fed: Too cautious - Jun. 8, 2016 https://t.co/WVtxUOHqjE",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",Female
4,Whatever Janet Yellen Says On Wednesday Is Going to Be Wrong | Sure Money Investor: https://t.co/AVrcILdpYw,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",Female
5,@AaronXtrades I'm selling today.,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",Female
6,"How about we don't hate gays—or any Americans, including Christians. https://t.co/C0zIWqNOau",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",Female
7,"Southern Baptists stand against bigotry, violence, and hate. h/t @KHancock4TX https://t.co/Z83QUP6nak",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",Female
8,Bought even more $TVIX during the 3.34 dip.,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",Female
9,We are at war: Every Deadly Radical Islamist Attack That Has Happened on American Soil Since Obama Took Office https://t.co/LyJTPTsqig,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",Female
10,@Sonofmydad I just wish people like @sallykohn would stop pinning us against one another. #Hate. @Not_RSMcCain @andersoncooper @jaketapper,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",Female
11,Wall Street scion Caspersen to appear in NY court in fraud case https://t.co/9DDFVHsdZR,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",Female
12,"@IFlipTrips He is white. He was raised white, by whites. I don't like the theory that Obama is some black supremacist. It's lazy.",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",Female
13,"So tragic. Expect more developments for days. I think the dude had a disorder, but also this was premeditated. https://t.co/0MNWQmxmlB",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",Female
14,.@AndrewHClark: There Are Two Competing Media Frames After Orlando. I Don't Like Either Of Them. https://t.co/rIxpKfORKe via @IndJournal,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",Female
15,"This President has left American less safe, less well-liked around the world and less prepared to battle our coming challenges. I'm ashamed.",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",Female
16,"No one is painting ALL Muslims with a broad brush. Not Trump, not any mainstream person. Concerns over Islam, valid. https://t.co/crSA91C6Qg",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",Female
17,So the Democratic Party has single-handedly given Putin opposition research an blackmail on Hillary Clinton and Donald Trump. Idiots.,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",Female
18,"Russian government hackers penetrated Democratic Party, stole opposition research on Trump https://t.co/MjE5FMmS8c",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",Female
19,@IFlipTrips Exactly.,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
20,And Westboro Church is not Baptist. They do NOT hold Baptist doctrine so they can call themselves unicorns but doesn't make it accurate.,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
21,God Hates Westboro Church.,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
22,@InvestorsLive won't it spike tomorrow?,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
23,Doesn't $NUGT spike tomorrow when no hike is announced? Maybe I'll get some and hold overnight...,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",Female
24,BB (2016) (Movie Review) – Zombies Don't Run https://t.co/imIMtC9G90,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",Female
25,More fake economic recovery.... Business inventories rise modestly as sales surge https://t.co/Eg54UtrupC,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",Female
26,"When asked to apologize or walk back her comments about Christians being ""guilty"" for #OrlandoShooting, @SallyKohn doubled down. #bigotry",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",Female
27,Ask @CNN if they know about what @SallyKohn's was tweeting yesterday. Pure bigotry and fake facts. (404) 827-1500 https://t.co/C0zIWqNOau,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",Female
28,Thanks for checking out that. Tweet deleted. https://t.co/Uq0E2LzySb,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",Female
29,#CNN Commentator Equates Christians With Terrorists After Orlando https://t.co/puXXnunHoX @brianstelter @DylanByers @HowardKurtz,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",Female
30,I use https://t.co/EfwhTr0XKm and y'all should too! Helps guide me in and outta $TVIX.,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",Female
31,"Buying $VKTX during these dips. Always do. Great long to have. Gets a pop every week or two. Can buy, sell, re-enter if you want.",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",Female
32,"Looks like strong, sustainable growth over at $TVIX. Impressive. Hope you all bought during that dip when I told ya to. 3.50-3.20. 3.62 now.",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",Female
33,Enlisting allies. Hate is hate and it must be ended: https://t.co/C0zIWqNOau #OrlandoUnited,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",Female
34,That RSI had to pullback on $TVIX. Still think it finishes in the green. Retail numbers mean little with our crap economy. Insolvent. $VXX,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",Female
35,Yeah think it needs to fall some and then head up again. Maybe not a 20% day but something good. $TVIX https://t.co/3Ybvc7rA56,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",Female
36,@politicalseason Why is it hard for you to admit your assumption was wrong against overwhelming evidence and the experts saying so?,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",Female
37,Fake economic boost news... May retail sales beat expectations; point to strong demand https://t.co/2T8P8Gs2jp,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",Female
38,@NelsonDaleSmith Thanks friend @instapundit,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",Female
39,@ddurden78 I've had instant for months. Talked to CEO @vladtenev yesterday. Hoping they take actions to make amends today. #robinhoodapp,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",Female
40,Will the press call Obama and obstructionist like it did with the GOP? No they won't. Rigged. https://t.co/78DJN06O2s,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",Female
